datetime_us,datetime_kr,open,high,low,last,evol,us_time,kr_time,macd,signal,histogram
2025-09-03 12:45:00-04:00,2025-09-04 01:45:00+09:00,16.1165,16.1299,16.115,16.1299,1298,2025-09-03 12:45:00,2025-09-04 01:45:00,0.005254448348583907,0.003268890960501563,0.001985557388082344
2025-09-03 12:50:00-04:00,2025-09-04 01:50:00+09:00,16.1299,16.1299,16.1,16.1105,2112,2025-09-03 12:50:00,2025-09-04 01:50:00,0.004731535768019768,0.003561419922005204,0.0011701158460145637
2025-09-03 12:55:00-04:00,2025-09-04 01:55:00+09:00,16.1105,16.13,16.1105,16.12,1731,2025-09-03 12:55:00,2025-09-04 01:55:00,0.00502576054657311,0.0038542880469187857,0.0011714724996543247
2025-09-03 13:00:00-04:00,2025-09-04 02:00:00+09:00,16.13,16.13,16.1126,16.115,2253,2025-09-03 13:00:00,2025-09-04 02:00:00,0.004800144512145721,0.004043459339964173,0.0007566851721815477
2025-09-03 13:05:00-04:00,2025-09-04 02:05:00+09:00,16.115,16.115,16.115,16.115,3,2025-09-03 13:05:00,2025-09-04 02:05:00,0.004568677311244329,0.004148502934220205,0.0004201743770241243
2025-09-03 13:10:00-04:00,2025-09-04 02:10:00+09:00,16.115,16.115,16.115,16.115,1,2025-09-03 13:10:00,2025-09-04 02:10:00,0.00433526366596837,0.004185855080569838,0.0001494085853985319
2025-09-03 13:15:00-04:00,2025-09-04 02:15:00+09:00,16.115,16.12,16.115,16.12,160,2025-09-03 13:15:00,2025-09-04 02:15:00,0.004501845412075767,0.004249053146871024,0.00025279226520474266
2025-09-03 13:20:00-04:00,2025-09-04 02:20:00+09:00,16.12,16.12,16.11,16.11,1121,2025-09-03 13:20:00,2025-09-04 02:20:00,0.0037833342967807937,0.004155909376852979,-0.000372575080072185
2025-09-03 13:25:00-04:00,2025-09-04 02:25:00+09:00,16.11,16.115,16.11,16.115,1016,2025-09-03 13:25:00,2025-09-04 02:25:00,0.003576143715889657,0.0040399562446603145,-0.00046381252877065755
2025-09-03 13:30:00-04:00,2025-09-04 02:30:00+09:00,16.115,16.115,16.115,16.115,14,2025-09-03 13:30:00,2025-09-04 02:30:00,0.003373061138660205,0.003906577223460293,-0.0005335160848000883
2025-09-03 13:40:00-04:00,2025-09-04 02:40:00+09:00,16.1158,16.12,16.115,16.12,2100,2025-09-03 13:40:00,2025-09-04 02:40:00,0.003574371813037658,0.003840136141375766,-0.00026576432833810837
2025-09-03 13:50:00-04:00,2025-09-04 02:50:00+09:00,16.12,16.12,16.12,16.12,5,2025-09-03 13:50:00,2025-09-04 02:50:00,0.00369136026945327,0.003810380966991267,-0.00011902069753799704
2025-09-03 13:55:00-04:00,2025-09-04 02:55:00+09:00,16.11,16.11,16.101,16.11,337,2025-09-03 13:55:00,2025-09-04 02:55:00,0.002943230310581413,0.0036369508357092964,-0.0006937205251278836
2025-09-03 14:05:00-04:00,2025-09-04 03:05:00+09:00,16.11,16.11,16.11,16.11,37,2025-09-03 14:05:00,2025-09-04 03:05:00,0.002323547518756186,0.0033742701723186745,-0.0010507226535624884
2025-09-03 14:15:00-04:00,2025-09-04 03:15:00+09:00,16.11,16.13,16.11,16.12,5597,2025-09-03 14:15:00,2025-09-04 03:15:00,0.002609282681639513,0.003221272674182842,-0.0006119899925433291
2025-09-03 14:20:00-04:00,2025-09-04 03:20:00+09:00,16.12,16.12,16.112,16.112,300,2025-09-03 14:20:00,2025-09-04 03:20:00,0.002165237208892279,0.00301006558112473,-0.0008448283722324512
2025-09-03 14:25:00-04:00,2025-09-04 03:25:00+09:00,16.112,16.112,16.112,16.112,15,2025-09-03 14:25:00,2025-09-04 03:25:00,0.0017926632663254338,0.0027665851181648713,-0.0009739218518394375
2025-09-03 14:30:00-04:00,2025-09-04 03:30:00+09:00,16.112,16.112,16.112,16.112,41,2025-09-03 14:30:00,2025-09-04 03:30:00,0.0014803313937576945,0.002509334373283436,-0.0010290029795257415
2025-09-03 14:35:00-04:00,2025-09-04 03:35:00+09:00,16.112,16.12,16.112,16.12,638,2025-09-03 14:35:00,2025-09-04 03:35:00,0.0018569336999370023,0.0023788542386141494,-0.0005219205386771471
2025-09-03 14:45:00-04:00,2025-09-04 03:45:00+09:00,16.12,16.12,16.11,16.11,1023,2025-09-03 14:45:00,2025-09-04 03:45:00,0.0013331100515046046,0.0021697054011922405,-0.0008365953496876359
2025-09-03 14:50:00-04:00,2025-09-04 03:50:00+09:00,16.11,16.15,16.11,16.15,390,2025-09-03 14:50:00,2025-09-04 03:50:00,0.0040983979616910915,0.0025554439132920107,0.0015429540483990808
2025-09-03 14:55:00-04:00,2025-09-04 03:55:00+09:00,16.15,16.15,16.13,16.13,140,2025-09-03 14:55:00,2025-09-04 03:55:00,0.00462278708834063,0.002968912548301735,0.0016538745400388947
2025-09-03 15:00:00-04:00,2025-09-04 04:00:00+09:00,16.13,16.13,16.125,16.125,222,2025-09-03 15:00:00,2025-09-04 04:00:00,0.004582091536988742,0.0032915483460391366,0.001290543190949605
2025-09-03 15:05:00-04:00,2025-09-04 04:05:00+09:00,16.125,16.125,16.125,16.125,100,2025-09-03 15:05:00,2025-09-04 04:05:00,0.004497989990639439,0.003532836674959197,0.0009651533156802422
2025-09-03 15:10:00-04:00,2025-09-04 04:10:00+09:00,16.125,16.1398,16.125,16.1392,2500,2025-09-03 15:10:00,2025-09-04 04:10:00,0.005513602853291388,0.003928989910625636,0.0015846129426657527
2025-09-03 15:15:00-04:00,2025-09-04 04:15:00+09:00,16.125,16.14,16.1235,16.14,330,2025-09-03 15:15:00,2025-09-04 04:15:00,0.006310295519433851,0.004405251032387279,0.0019050444870465713
2025-09-03 15:20:00-04:00,2025-09-04 04:20:00+09:00,16.14,16.146,16.1316,16.146,2101,2025-09-03 15:20:00,2025-09-04 04:20:00,0.007341205209208113,0.004992441867751446,0.002348763341456667
2025-09-03 15:25:00-04:00,2025-09-04 04:25:00+09:00,16.146,16.146,16.13,16.13,200,2025-09-03 15:25:00,2025-09-04 04:25:00,0.006788884251516691,0.005351730344504495,0.0014371539070121963
2025-09-03 15:30:00-04:00,2025-09-04 04:30:00+09:00,16.13,16.146,16.11,16.11,1223,2025-09-03 15:30:00,2025-09-04 04:30:00,0.004683346358724805,0.005218053547348557,-0.0005347071886237526
2025-09-03 15:35:00-04:00,2025-09-04 04:35:00+09:00,16.11,16.15,16.11,16.135,580,2025-09-03 15:35:00,2025-09-04 04:35:00,0.004974638934353237,0.005169370624749493,-0.00019473169039625586
2025-09-03 15:40:00-04:00,2025-09-04 04:40:00+09:00,16.13,16.14,16.13,16.1399,802,2025-09-03 15:40:00,2025-09-04 04:40:00,0.0055370517621682325,0.005242906852233241,0.0002941449099349916
2025-09-03 15:45:00-04:00,2025-09-04 04:45:00+09:00,16.1399,16.1399,16.135,16.135,615,2025-09-03 15:45:00,2025-09-04 04:45:00,0.005523705097207454,0.005299066501228084,0.00022463859597937012
2025-09-03 15:50:00-04:00,2025-09-04 04:50:00+09:00,16.135,16.14,16.135,16.14,1202,2025-09-03 15:50:00,2025-09-04 04:50:00,0.005849160501043116,0.005409085301191091,0.00044007519985202453
2025-09-03 15:55:00-04:00,2025-09-04 04:55:00+09:00,16.14,16.15,16.13,16.13,1594,2025-09-03 15:55:00,2025-09-04 04:55:00,0.005239769031103236,0.005375222047173521,-0.00013545301607028465
2025-09-03 16:00:00-04:00,2025-09-04 05:00:00+09:00,16.13,16.16,16.13,16.16,5,2025-09-03 16:00:00,2025-09-04 05:00:00,0.007095775497322876,0.005719332737203393,0.0013764427601194833
2025-09-03 16:10:00-04:00,2025-09-04 05:10:00+09:00,16.16,16.16,16.16,16.16,2,2025-09-03 16:10:00,2025-09-04 05:10:00,0.008469048079145836,0.006269275805591882,0.002199772273553954
2025-09-03 16:20:00-04:00,2025-09-04 05:20:00+09:00,16.16,16.16,16.1599,16.1599,104,2025-09-03 16:20:00,2025-09-04 05:20:00,0.00944048331471592,0.006903517307416689,0.0025369660072992305
2025-09-03 17:10:00-04:00,2025-09-04 06:10:00+09:00,16.1599,16.1599,16.1599,16.1599,3,2025-09-03 17:10:00,2025-09-04 06:10:00,0.010093995441561532,0.007541612934245658,0.002552382507315874
2025-09-04 08:00:00-04:00,2025-09-04 21:00:00+09:00,16.16,16.16,16.16,16.16,2,2025-09-04 08:00:00,2025-09-04 21:00:00,0.01049895228804587,0.008133080805005702,0.002365871483040169
2025-09-04 08:55:00-04:00,2025-09-04 21:55:00+09:00,16.16,16.16,16.16,16.16,20,2025-09-04 08:55:00,2025-09-04 21:55:00,0.010696579990700172,0.008645780642144597,0.0020507993485555757
2025-09-04 09:30:00-04:00,2025-09-04 22:30:00+09:00,16.18,16.22,16.155,16.16,134,2025-09-04 09:30:00,2025-09-04 22:30:00,0.010729518162399643,0.009062528146195606,0.0016669900162040365
2025-09-04 09:35:00-04:00,2025-09-04 22:35:00+09:00,16.152,16.152,16.152,16.152,212,2025-09-04 09:35:00,2025-09-04 22:35:00,0.009994874072848603,0.009248997331526206,0.000745876741322397
2025-09-04 09:40:00-04:00,2025-09-04 22:40:00+09:00,16.152,16.152,16.152,16.152,42,2025-09-04 09:40:00,2025-09-04 22:40:00,0.009305396520375098,0.009260277169295984,4.511935107911341e-05
2025-09-04 09:45:00-04:00,2025-09-04 22:45:00+09:00,16.18,16.18,16.162,16.165,678,2025-09-04 09:45:00,2025-09-04 22:45:00,0.00969620018700823,0.009347461772838433,0.0003487384141697969
2025-09-04 09:50:00-04:00,2025-09-04 22:50:00+09:00,16.165,16.165,16.155,16.156,1006,2025-09-04 09:50:00,2025-09-04 22:50:00,0.00917393867013061,0.00931275715229687,-0.00013881848216625893
2025-09-04 09:55:00-04:00,2025-09-04 22:55:00+09:00,16.156,16.156,16.155,16.155,257,2025-09-04 09:55:00,2025-09-04 22:55:00,0.00858044102961486,0.009166293927760468,-0.0005858528981456078
2025-09-04 10:00:00-04:00,2025-09-04 23:00:00+09:00,16.155,16.16,16.155,16.16,1398,2025-09-04 10:00:00,2025-09-04 23:00:00,0.008416527595823453,0.009016340661373065,-0.000599813065549612
2025-09-04 10:05:00-04:00,2025-09-04 23:05:00+09:00,16.16,16.16,16.1566,16.1566,271,2025-09-04 10:05:00,2025-09-04 23:05:00,0.007920965474237818,0.008797265623946017,-0.000876300149708199
2025-09-04 10:10:00-04:00,2025-09-04 23:10:00+09:00,16.1566,16.16,16.1566,16.16,265,2025-09-04 10:10:00,2025-09-04 23:10:00,0.007713662211180861,0.008580544941392987,-0.0008668827302121263
2025-09-04 10:15:00-04:00,2025-09-04 23:15:00+09:00,16.16,16.22,16.1558,16.1998,8084,2025-09-04 10:15:00,2025-09-04 23:15:00,0.010638268917208649,0.00899208973655612,0.0016461791806525287
2025-09-04 10:20:00-04:00,2025-09-04 23:20:00+09:00,16.185,16.185,16.15,16.1501,4442,2025-09-04 10:20:00,2025-09-04 23:20:00,0.008843721249085945,0.008962416039062086,-0.00011869478997614084
2025-09-04 10:25:00-04:00,2025-09-04 23:25:00+09:00,16.1714,16.18,16.15,16.18,1390,2025-09-04 10:25:00,2025-09-04 23:25:00,0.009722138645866352,0.009114360560422939,0.0006077780854434126
2025-09-04 10:30:00-04:00,2025-09-04 23:30:00+09:00,16.18,16.18,16.18,16.18,6,2025-09-04 10:30:00,2025-09-04 23:30:00,0.010299563801225986,0.009351401208583549,0.0009481625926424375
